trade_id,symbol,side,entry_ts_ms,exit_ts_ms,entry_ts_utc,exit_ts_utc,entry_price,exit_price,stop_price,target_price,qty,hold_bars,exit_reason,gross_pnl,realized_pnl,fees,slippage_cost,funding,mae,mfe
16,ETHUSDT,short,1585353600000,1585483200000,2020-03-28T00:00:00+00:00,2020-03-29T12:00:00+00:00,131.17,129.15,134.25,122.33,0.04,36,max_hold,0.08079999999999928,0.07507295999999927,0.00572704,0.002800000000000864,0.0,-0.07040000000000078,0.2659999999999997
17,ETHUSDT,long,1585846800000,1585857600000,2020-04-02T17:00:00+00:00,2020-04-02T20:00:00+00:00,143.53,138.64,138.64,158.01,0.04,3,stop,-0.1956000000000006,-0.2018077400000006,0.00620774,0.0032000000000005,0.0,-0.22039999999999965,0.25759999999999994
18,ETHUSDT,long,1586149200000,1586185200000,2020-04-06T05:00:00+00:00,2020-04-06T15:00:00+00:00,147.94,160.17,143.76,160.17,0.04,10,target,0.4891999999999996,0.4824215799999996,0.00677842,0.0031999999999993635,0.0,-0.05039999999999964,0.5384000000000003
19,ETHUSDT,short,1586491200000,1586620800000,2020-04-10T04:00:00+00:00,2020-04-11T16:00:00+00:00,163.27,157.29,168.72,147.28,0.04,36,max_hold,0.23920000000000075,0.23214768000000074,0.007052320000000001,0.0036000000000001365,0.0,-0.028399999999999183,0.4508000000000004
20,ETHUSDT,long,1587024000000,1587153600000,2020-04-16T08:00:00+00:00,2020-04-17T20:00:00+00:00,164.62,170.91,160.83,175.58,0.04,36,max_hold,0.2515999999999997,0.2442183399999997,0.007381660000000001,0.0036000000000001365,0.0,-0.004400000000000546,0.4119999999999993
21,ETHUSDT,long,1587214800000,1587344400000,2020-04-18T13:00:00+00:00,2020-04-20T01:00:00+00:00,178.63,182.17,174.15,191.72,0.03,36,max_hold,0.10619999999999975,0.10024679999999975,0.0059532,0.002700000000000102,0.0,-0.07079999999999956,0.33150000000000035
22,ETHUSDT,long,1587564000000,1587650400000,2020-04-22T14:00:00+00:00,2020-04-23T14:00:00+00:00,180.18,192.89,175.79,192.89,0.03,24,target,0.38129999999999936,0.3751443449999994,0.006155655,0.002999999999999829,0.0,-0.06540000000000021,0.4265999999999999
23,ETHUSDT,long,1587794400000,1587924000000,2020-04-25T06:00:00+00:00,2020-04-26T18:00:00+00:00,194.49,194.94,189.18,210.06,0.03,36,max_hold,0.013499999999999658,0.007074404999999659,0.006425594999999999,0.003000000000000682,0.0,-0.09210000000000064,0.16499999999999998
24,ETHUSDT,long,1588143600000,1588176000000,2020-04-29T07:00:00+00:00,2020-04-29T16:00:00+00:00,205.77,217.2,201.83,217.2,0.03,9,target,0.3428999999999993,0.33592099499999933,0.006979005,0.003300000000000409,0.0,-0.041400000000000714,0.41189999999999966
25,ETHUSDT,short,1588240800000,1588370400000,2020-04-30T10:00:00+00:00,2020-05-01T22:00:00+00:00,206.33,212.54,219.14,168.34,0.03,36,max_hold,-0.18629999999999938,-0.1932113549999994,0.006911355,0.0032999999999995563,0.0,-0.3347999999999999,0.1329000000000002
26,ETHUSDT,short,1588809600000,1588816800000,2020-05-07T00:00:00+00:00,2020-05-07T02:00:00+00:00,198.99,205.17,205.17,180.75,0.03,2,stop,-0.18539999999999934,-0.19206863999999935,0.00666864,0.002999999999999829,0.0,-0.2873999999999995,0.08550000000000067
27,ETHUSDT,short,1589130000000,1589140800000,2020-05-10T17:00:00+00:00,2020-05-10T20:00:00+00:00,180.51,187.75,187.75,159.1,0.03,3,stop,-0.21720000000000025,-0.22327629000000027,0.00607629,0.003000000000000682,0.0,-0.2706000000000003,0.0
28,ETHUSDT,long,1589720400000,1589850000000,2020-05-17T13:00:00+00:00,2020-05-19T01:00:00+00:00,206.92,212.09,202.5,219.7,0.03,36,max_hold,0.15510000000000046,0.14818633500000045,0.006913665,0.0032999999999995563,0.0,-0.030599999999999454,0.3084
29,ETHUSDT,short,1589990400000,1590084000000,2020-05-20T16:00:00+00:00,2020-05-21T18:00:00+00:00,207.84,195.18,212.27,195.18,0.03,26,target,0.37979999999999986,0.37315016999999984,0.006649830000000001,0.0032999999999995563,0.0,-0.11549999999999983,0.48689999999999967
30,ETHUSDT,short,1590321600000,1590451200000,2020-05-24T12:00:00+00:00,2020-05-26T00:00:00+00:00,205.83,204.1,209.93,193.97,0.03,36,max_hold,0.05190000000000054,0.045136155000000545,0.006763845,0.0032999999999995563,0.0,-0.06419999999999959,0.2433000000000004
31,ETHUSDT,short,1590508800000,1590523200000,2020-05-26T16:00:00+00:00,2020-05-26T20:00:00+00:00,197.51,201.92,201.92,184.67,0.03,4,stop,-0.1322999999999999,-0.1388905949999999,0.0065905949999999994,0.003000000000000682,0.0,-0.1602000000000001,0.024899999999999523
32,ETHUSDT,long,1590814800000,1590876000000,2020-05-30T05:00:00+00:00,2020-05-30T22:00:00+00:00,228.25,241.9,223.54,241.9,0.03,17,target,0.40950000000000014,0.40174252500000013,0.007757475000000001,0.003600000000000136,0.0,-0.012900000000000205,0.5879999999999999
33,ETHUSDT,long,1591660800000,1591660800000,2020-06-09T00:00:00+00:00,2020-06-09T00:00:00+00:00,246.77,243.42,243.42,256.34,0.03,0,stop_entry_bar,-0.10050000000000067,-0.10858813500000067,0.008088135,0.0039000000000007163,0.0,-0.28409999999999996,0.09989999999999952
34,ETHUSDT,short,1591894800000,1591894800000,2020-06-11T17:00:00+00:00,2020-06-11T17:00:00+00:00,225.67,234.32,234.32,199.49,0.03,0,stop_entry_bar,-0.2595000000000002,-0.26708983500000016,0.007589835,0.003600000000000136,0.0,-0.2949000000000004,0.01019999999999925
35,ETHUSDT,long,1592791200000,1592841600000,2020-06-22T02:00:00+00:00,2020-06-22T16:00:00+00:00,233.42,245.03,229.38,245.03,0.03,14,target,0.3483000000000004,0.3404055750000004,0.007894425,0.0035999999999992835,0.0,-0.021299999999999385,0.35460000000000064
36,ETHUSDT,short,1593288000000,1593291600000,2020-06-27T20:00:00+00:00,2020-06-27T21:00:00+00:00,217.59,220.59,220.59,209.11,0.03,1,stop,-0.09,-0.09722997,0.0072299700000000005,0.0032999999999995563,0.0,-0.15180000000000007,0.032700000000000104
37,ETHUSDT,long,1593885600000,1593914400000,2020-07-04T18:00:00+00:00,2020-07-05T02:00:00+00:00,230.02,227.56,227.56,236.91,0.03,8,stop,-0.07380000000000024,-0.08135007000000025,0.00755007,0.003600000000000136,0.0,-0.07680000000000006,0.014399999999999693
38,ETHUSDT,short,1593943200000,1593982800000,2020-07-05T10:00:00+00:00,2020-07-05T21:00:00+00:00,224.34,226.88,226.88,217.25,0.03,11,stop,-0.07619999999999975,-0.08364512999999975,0.00744513,0.003600000000000136,0.0,-0.08669999999999958,0.03240000000000037
39,ETHUSDT,long,1594018800000,1594080000000,2020-07-06T07:00:00+00:00,2020-07-07T00:00:00+00:00,232.63,243.08,228.99,243.08,0.03,17,target,0.3135000000000005,0.3056507850000005,0.007849215,0.003600000000000136,0.0,-0.016499999999999487,0.3381000000000003
40,ETHUSDT,short,1594562400000,1594591200000,2020-07-12T14:00:00+00:00,2020-07-12T22:00:00+00:00,237.51,240.5,240.5,229.07,0.03,8,stop,-0.08970000000000027,-0.09758716500000027,0.007887165000000002,0.003600000000000136,0.0,-0.10950000000000017,0.0252000000000001
41,ETHUSDT,short,1594882800000,1595012400000,2020-07-16T07:00:00+00:00,2020-07-17T19:00:00+00:00,235.16,233.26,237.22,229.45,0.03,36,max_hold,0.05700000000000017,0.04927107000000017,0.00772893,0.003600000000000136,0.0,-0.003600000000000136,0.1595999999999998
42,ETHUSDT,long,1595199600000,1595271600000,2020-07-19T23:00:00+00:00,2020-07-20T19:00:00+00:00,237.99,235.53,235.53,244.88,0.03,20,stop,-0.07380000000000024,-0.08161308000000024,0.00781308,0.003600000000000136,0.0,-0.11970000000000026,0.05819999999999993
43,ETHUSDT,short,1595275200000,1595293200000,2020-07-20T20:00:00+00:00,2020-07-21T01:00:00+00:00,235.28,237.4,237.4,229.44,0.03,5,stop,-0.06360000000000013,-0.07139922000000012,0.00779922,0.003600000000000136,0.0,-0.06540000000000021,0.007200000000000272
44,ETHUSDT,long,1595318400000,1595448000000,2020-07-21T08:00:00+00:00,2020-07-22T20:00:00+00:00,242.04,245.34,238.39,252.44,0.03,36,max_hold,0.09900000000000034,0.09095823000000033,0.00804177,0.0038999999999998636,0.0,-0.022799999999999727,0.14490000000000036
45,ETHUSDT,long,1595458800000,1595462400000,2020-07-22T23:00:00+00:00,2020-07-23T00:00:00+00:00,263.12,266.24,262.05,266.24,0.02,1,target,0.062400000000000094,0.05657704000000009,0.005822960000000001,0.002799999999999727,0.0,-0.007400000000000091,0.06759999999999991
