trade_id,symbol,side,entry_ts_ms,exit_ts_ms,entry_ts_utc,exit_ts_utc,entry_price,exit_price,stop_price,target_price,qty,hold_bars,exit_reason,gross_pnl,realized_pnl,fees,slippage_cost,funding,mae,mfe
479,ETHUSDT,short,1771812000000,1771837200000,2026-02-23T02:00:00+00:00,2026-02-23T09:00:00+00:00,1854.0,1901.93,1901.93,1713.93,0.01,7,stop,-0.47930000000000067,-0.4999576150000007,0.020657615,0.009300000000000638,0.0,-0.6380999999999994,0.045899999999999185
480,ETHUSDT,long,1771984800000,1772053200000,2026-02-25T02:00:00+00:00,2026-02-25T21:00:00+00:00,1918.31,2097.43,1857.32,2097.43,0.01,19,target,1.791199999999999,1.769113429999999,0.02208657,0.009600000000000363,0.0,-0.41250000000000003,2.316399999999999
481,ETHUSDT,short,1772262000000,1772283600000,2026-02-28T07:00:00+00:00,2026-02-28T13:00:00+00:00,1840.58,1899.95,1899.95,1666.2,0.01,6,stop,-0.5937000000000012,-0.6142729150000013,0.020572915000000004,0.009300000000000638,0.0,-0.6930000000000018,0.06470000000000027
482,ETHUSDT,long,1772467200000,1772524800000,2026-03-02T16:00:00+00:00,2026-03-03T08:00:00+00:00,2047.42,1970.86,1970.86,2272.99,0.01,16,stop,-0.7656000000000017,-0.7877005400000017,0.022100540000000002,0.010299999999999728,0.0,-1.0075,0.4157999999999993
483,ETHUSDT,long,1773615600000,1773684000000,2026-03-15T23:00:00+00:00,2026-03-16T18:00:00+00:00,2184.84,2339.27,2131.88,2339.27,0.01,19,target,1.5442999999999985,1.5194173949999985,0.024882605000000002,0.011000000000003639,0.0,-0.21519999999999984,1.6015999999999986
484,ETHUSDT,short,1773835200000,1773925200000,2026-03-18T12:00:00+00:00,2026-03-19T13:00:00+00:00,2266.97,2109.6,2320.93,2109.6,0.01,25,target,1.573699999999999,1.549628864999999,0.024071135,0.011400000000003274,0.0,-0.02769999999999982,1.6006999999999971
485,ETHUSDT,short,1774137600000,1774144800000,2026-03-22T00:00:00+00:00,2026-03-22T02:00:00+00:00,2082.32,2107.51,2107.51,2010.95,0.01,2,stop,-0.25190000000000057,-0.27494406500000057,0.023044065000000002,0.010499999999997272,0.0,-0.2635999999999967,0.36750000000000227
486,ETHUSDT,long,1774267200000,1774396800000,2026-03-23T12:00:00+00:00,2026-03-25T00:00:00+00:00,2134.97,2155.3,2101.34,2231.54,0.01,36,max_hold,0.2033000000000038,0.1797035150000038,0.023596485,0.01069999999999709,0.0,-0.329699999999998,0.5757000000000017
487,ETHUSDT,short,1774609200000,1774702800000,2026-03-27T11:00:00+00:00,2026-03-28T13:00:00+00:00,1988.69,2039.09,2039.09,1841.53,0.01,26,stop,-0.5039999999999987,-0.5261527899999987,0.022152790000000002,0.01,0.0,-0.6067000000000008,0.2249000000000001
488,ETHUSDT,short,1774825200000,1774825200000,2026-03-29T23:00:00+00:00,2026-03-29T23:00:00+00:00,1971.84,1984.15,1984.15,1938.88,0.01,0,stop_entry_bar,-0.12310000000000174,-0.14485794500000174,0.021757945,0.009900000000000091,0.0,-0.21960000000000038,0.0
489,ETHUSDT,short,1775095200000,1775224800000,2026-04-02T02:00:00+00:00,2026-04-03T14:00:00+00:00,2097.51,2047.21,2162.37,1907.13,0.01,36,max_hold,0.5030000000000018,0.4802040400000018,0.022795960000000004,0.010499999999997272,0.0,-0.010499999999997272,0.8196000000000027
490,ETHUSDT,long,1775602800000,1775732400000,2026-04-07T23:00:00+00:00,2026-04-09T11:00:00+00:00,2220.31,2189.51,2136.13,2468.41,0.01,36,max_hold,-0.3079999999999973,-0.33225400999999727,0.024254010000000003,0.011100000000001274,0.0,-0.6030999999999994,0.5269000000000006
491,ETHUSDT,long,1775750400000,1775782800000,2026-04-09T16:00:00+00:00,2026-04-10T01:00:00+00:00,2218.1,2180.19,2180.19,2327.43,0.01,9,stop,-0.37909999999999855,-0.40329059499999853,0.024190595000000002,0.011100000000001274,0.0,-0.4428999999999996,0.2805000000000018
492,ETHUSDT,long,1775934000000,1775955600000,2026-04-11T19:00:00+00:00,2026-04-12T01:00:00+00:00,2305.54,2268.9,2268.9,2410.82,0.01,6,stop,-0.3663999999999987,-0.3915594199999987,0.025159420000000002,0.011599999999998546,0.0,-0.9753999999999997,0.2444999999999982
493,ETHUSDT,short,1775959200000,1776088800000,2026-04-12T02:00:00+00:00,2026-04-13T14:00:00+00:00,2216.81,2214.0,2281.16,2028.24,0.01,36,max_hold,0.028099999999999455,0.003730544999999457,0.024369454999999998,0.011100000000001274,0.0,-0.18070000000000164,0.4380999999999995
494,ETHUSDT,long,1776121200000,1776250800000,2026-04-13T23:00:00+00:00,2026-04-15T11:00:00+00:00,2353.15,2315.72,2274.74,2583.61,0.01,36,max_hold,-0.3743000000000029,-0.3999787850000029,0.025678785000000003,0.01180000000000291,0.0,-0.5155000000000018,0.6325000000000001
495,ETHUSDT,long,1776434400000,1776499200000,2026-04-17T14:00:00+00:00,2026-04-18T08:00:00+00:00,2437.07,2373.34,2373.34,2623.42,0.01,18,stop,-0.6373000000000002,-0.6637572550000002,0.026457255000000006,0.012200000000002547,0.0,-0.7207000000000017,0.26789999999999964
496,ETHUSDT,short,1777269600000,1777399200000,2026-04-27T06:00:00+00:00,2026-04-28T18:00:00+00:00,2320.37,2289.3,2382.76,2137.92,0.01,36,max_hold,0.3106999999999971,0.2853468149999971,0.025353185,0.011700000000000727,0.0,-0.08349999999999909,0.643399999999997
497,ETHUSDT,long,1777759200000,1777759200000,2026-05-02T22:00:00+00:00,2026-05-02T22:00:00+00:00,2325.74,2320.47,2320.47,2336.83,0.01,0,stop_entry_bar,-0.052699999999999816,-0.07825415499999981,0.025554155,0.01169999999999618,0.0,-0.0925,0.016900000000000547
498,ETHUSDT,long,1778454000000,1778468400000,2026-05-10T23:00:00+00:00,2026-05-11T03:00:00+00:00,2374.16,2323.27,2323.27,2522.04,0.01,4,stop,-0.5088999999999987,-0.5347358649999987,0.025835865,0.011900000000000546,0.0,-0.5576999999999999,0.07720000000000254
499,ETHUSDT,long,1778770800000,1778821200000,2026-05-14T15:00:00+00:00,2026-05-15T05:00:00+00:00,2287.14,2239.97,2239.97,2424.05,0.01,14,stop,-0.47170000000000073,-0.4965991050000007,0.024899105,0.01150000000000091,0.0,-0.5088999999999987,0.3146000000000004
500,ETHUSDT,short,1778853600000,1778983200000,2026-05-15T14:00:00+00:00,2026-05-17T02:00:00+00:00,2211.56,2168.22,2260.94,2067.86,0.01,36,max_hold,0.43340000000000145,0.4093112100000015,0.02408879,0.011100000000001274,0.0,-0.20440000000000055,0.5105999999999995
501,ETHUSDT,short,1779062400000,1779062400000,2026-05-18T00:00:00+00:00,2026-05-18T00:00:00+00:00,2128.81,2130.92,2130.92,2126.76,0.01,0,stop_entry_bar,-0.021100000000001274,-0.04452851500000128,0.023428515000000004,0.010700000000001637,0.0,-0.021900000000000548,0.2588000000000011
