trade_id,symbol,side,entry_ts_utc,exit_ts_utc,entry_price,exit_price,stop_price,target_price,qty,hold_bars,exit_reason,gross_pnl,realized_pnl,fees,slippage_cost,funding,mae,mfe,return_units,entry_bar_exit,ambiguous_intrabar,tag
1,ETHUSDT,long,2020-01-11T00:00:00+00:00,2020-01-14T00:00:00+00:00,144.88,163.99,135.21,163.99,0.04,3,target,0.7644000000000005,0.7576048600000005,0.006795140000000001,0.0031999999999993635,0.0,-0.1267999999999995,1.0448000000000002,0.13072971769740482,False,False,tsm_pressure_zone
2,ETHUSDT,long,2020-01-18T00:00:00+00:00,2020-01-24T00:00:00+00:00,170.15,158.41,158.41,193.35,0.03,6,stop,-0.35220000000000024,-0.35762124000000023,0.005421240000000001,0.002700000000000102,0.0,-0.4329000000000002,0.28259999999999963,-0.07005999412283284,False,False,tsm_pressure_zone
3,ETHUSDT,long,2020-01-27T00:00:00+00:00,2020-02-02T00:00:00+00:00,168.07,192.29,155.7,192.29,0.03,6,target,0.7265999999999999,0.7206540599999999,0.00594594,0.002700000000000102,0.0,-0.08369999999999976,0.7688999999999998,0.1429273635985006,False,False,tsm_pressure_zone
4,ETHUSDT,long,2020-02-03T00:00:00+00:00,2020-02-06T00:00:00+00:00,188.74,214.81,175.48,214.81,0.03,3,target,0.7820999999999998,0.7754414249999998,0.006658575000000001,0.003000000000000682,0.0,-0.12090000000000004,0.8387999999999993,0.13695055367171766,False,False,tsm_pressure_zone
5,ETHUSDT,long,2020-02-19T00:00:00+00:00,2020-02-26T00:00:00+00:00,283.11,237.84,237.84,373.21,0.02,7,stop,-0.9054000000000002,-0.9111304500000003,0.005730450000000001,0.0030000000000006822,0.0,-1.3472000000000004,0.0717999999999995,-0.1609145650100668,False,False,tsm_pressure_zone
6,ETHUSDT,long,2020-03-02T00:00:00+00:00,2020-03-02T00:00:00+00:00,218.12,229.41,212.31,229.41,0.03,0,target_entry_bar,0.3386999999999997,0.3313157549999997,0.007384245,0.003300000000000409,0.0,-0.05639999999999986,0.49139999999999984,0.05063203053365116,True,False,tsm_pressure_zone
7,ETHUSDT,short,2020-03-12T00:00:00+00:00,2020-03-12T00:00:00+00:00,194.67,167.09,208.67,167.09,0.03,0,target_entry_bar,0.8273999999999995,0.8214309599999995,0.00596904,0.003000000000000682,0.0,-0.034200000000000445,2.9900999999999995,0.1406535778496943,True,False,tsm_pressure_zone
8,ETHUSDT,short,2020-03-22T00:00:00+00:00,2020-04-06T00:00:00+00:00,132.57,152.7,152.7,92.62,0.04,15,stop,-0.8051999999999998,-0.8114759399999998,0.00627594,0.002799999999999727,0.0,-1.5768000000000006,0.5427999999999997,-0.15302782303688614,False,False,tsm_pressure_zone
9,ETHUSDT,short,2020-04-14T00:00:00+00:00,2020-04-16T00:00:00+00:00,156.3,164.92,164.92,139.28,0.04,2,stop,-0.34479999999999905,-0.35186683999999907,0.0070668400000000004,0.0031999999999993635,0.0,-0.744799999999999,0.3292000000000007,-0.056280684580933944,False,False,tsm_pressure_zone
10,ETHUSDT,long,2020-04-23T00:00:00+00:00,2020-04-29T00:00:00+00:00,182.73,214.72,166.58,214.72,0.03,6,target,0.9597000000000002,0.9531420750000003,0.006557925,0.002999999999999829,0.0,-0.1418999999999997,1.1031000000000002,0.17387075192907575,False,False,tsm_pressure_zone
11,ETHUSDT,long,2020-04-30T00:00:00+00:00,2020-05-10T00:00:00+00:00,215.61,189.49,189.49,267.52,0.03,10,stop,-0.7836000000000001,-0.7902841500000001,0.006684150000000001,0.003300000000000409,0.0,-1.1316000000000008,0.3566999999999996,-0.12217802977598442,False,False,tsm_pressure_zone
12,ETHUSDT,long,2020-05-13T00:00:00+00:00,2020-05-28T00:00:00+00:00,189.74,217.96,175.48,217.96,0.03,15,target,0.8465999999999999,0.83987295,0.00672705,0.003000000000000682,0.0,-0.06300000000000068,0.9314999999999994,0.14754803942236744,False,False,tsm_pressure_zone
13,ETHUSDT,long,2020-06-07T00:00:00+00:00,2020-06-07T00:00:00+00:00,242.19,235.73,235.73,254.7,0.03,0,stop_entry_bar,-0.19380000000000022,-0.20168568000000023,0.00788568,0.0038999999999998636,0.0,-0.22650000000000034,0.10260000000000047,-0.02775860274990713,True,False,tsm_pressure_zone
14,ETHUSDT,long,2020-06-11T00:00:00+00:00,2020-06-11T00:00:00+00:00,248.08,237.28,237.28,269.3,0.03,0,stop_entry_bar,-0.32400000000000034,-0.33200844000000035,0.00800844,0.0039000000000007163,0.0,-0.6825,0.06779999999999972,-0.0446103998710094,True,False,tsm_pressure_zone
15,ETHUSDT,long,2020-06-17T00:00:00+00:00,2020-06-27T00:00:00+00:00,235.34,218.0,218.0,269.66,0.03,10,stop,-0.5202000000000001,-0.5276801100000001,0.007480110000000001,0.003600000000000136,0.0,-0.6525,0.42209999999999975,-0.07474010792895387,False,False,tsm_pressure_zone
16,ETHUSDT,long,2020-07-02T00:00:00+00:00,2020-07-22T00:00:00+00:00,231.14,245.56,221.09,250.91,0.03,20,max_hold,0.4326000000000005,0.4247344500000005,0.007865549999999999,0.0035999999999992835,0.0,-0.25139999999999985,1.1898000000000006,0.06125211992731685,False,False,tsm_pressure_zone
17,ETHUSDT,long,2020-07-31T00:00:00+00:00,2020-08-01T00:00:00+00:00,335.48,393.92,305.99,393.92,0.02,1,target,1.1688,1.1607766000000002,0.0080234,0.0034000000000003186,0.0,-0.12960000000000035,1.1864,0.17300235483486348,False,False,tsm_pressure_zone
18,ETHUSDT,long,2020-08-14T00:00:00+00:00,2020-09-03T00:00:00+00:00,425.49,439.74,366.01,543.99,0.02,20,max_hold,0.28500000000000003,0.27548247000000003,0.00951753,0.004400000000000546,0.0,-1.1070000000000004,1.2765999999999997,0.032372378904322076,False,False,tsm_pressure_zone
19,ETHUSDT,short,2020-09-09T00:00:00+00:00,2020-09-10T00:00:00+00:00,337.21,360.04,360.04,291.89,0.02,1,stop,-0.45660000000000084,-0.4642697500000008,0.007669750000000001,0.0034000000000003186,0.0,-0.7958000000000004,0.1325999999999999,-0.06883985498650705,False,False,tsm_pressure_zone
20,ETHUSDT,long,2020-09-15T00:00:00+00:00,2020-09-21T00:00:00+00:00,377.32,353.08,353.08,425.22,0.02,6,stop,-0.4848000000000002,-0.4928344000000002,0.0080344,0.0037999999999999545,0.0,-0.9331999999999994,0.335,-0.06530721933637233,False,False,tsm_pressure_zone
21,ETHUSDT,short,2020-10-02T00:00:00+00:00,2020-10-10T00:00:00+00:00,352.36,370.48,370.48,316.64,0.02,8,stop,-0.3624000000000001,-0.37035124000000014,0.007951240000000002,0.0036000000000001365,0.0,-0.5267999999999995,0.4027999999999997,-0.0525529628788739,False,False,tsm_pressure_zone
22,ETHUSDT,long,2020-11-01T00:00:00+00:00,2020-11-03T00:00:00+00:00,386.48,372.99,372.99,412.88,0.02,2,stop,-0.2698000000000002,-0.2781541700000002,0.008354170000000001,0.00400000000000091,0.0,-0.3296000000000004,0.3703999999999996,-0.03598558398882221,False,False,tsm_pressure_zone
23,ETHUSDT,long,2020-11-05T00:00:00+00:00,2020-11-07T00:00:00+00:00,403.16,468.83,369.96,468.83,0.02,2,target,1.3133999999999992,1.3038081099999992,0.00959189,0.0042000000000007275,0.0,-0.14540000000000078,1.3315999999999997,0.16169859485067953,False,False,tsm_pressure_zone
24,ETHUSDT,long,2020-11-21T00:00:00+00:00,2020-11-24T00:00:00+00:00,510.69,621.2,454.95,621.2,0.01,3,target,1.1051000000000004,1.0988746050000004,0.006225395000000001,0.0025999999999999092,0.0,-0.07889999999999986,1.1395999999999997,0.21517449039534753,False,False,tsm_pressure_zone
25,ETHUSDT,long,2020-11-29T00:00:00+00:00,2020-12-17T00:00:00+00:00,537.64,652.24,480.07,652.24,0.01,18,target,1.1460000000000004,1.1394556600000003,0.006544340000000001,0.002699999999999818,0.0,-0.07139999999999987,1.4056000000000006,0.2119365486198944,False,False,tsm_pressure_zone
26,ETHUSDT,long,2021-01-03T00:00:00+00:00,2021-01-03T00:00:00+00:00,775.43,896.1,714.48,896.1,0.01,0,target_entry_bar,1.2067000000000008,1.1975065850000008,0.009193415,0.0038999999999998636,0.0,-0.062399999999998956,2.4708000000000006,0.15443129424964225,True,False,tsm_pressure_zone
