trade_id,symbol,side,entry_ts_ms,exit_ts_ms,entry_ts_utc,exit_ts_utc,entry_price,exit_price,stop_price,target_price,qty,hold_bars,exit_reason,gross_pnl,realized_pnl,fees,slippage_cost,funding,mae,mfe
516,BTCUSDT,long,1771070400000,1771070400000,2026-02-14T12:00:00+00:00,2026-02-14T12:00:00+00:00,70500.1,69584.6,69584.6,73105.4,0.001,0,stop_entry_bar,-0.9155,-0.9925465849999999,0.077046585,0.03530000000000291,0.0,-0.9745,0.0
517,BTCUSDT,short,1771250400000,1771380000000,2026-02-16T14:00:00+00:00,2026-02-18T02:00:00+00:00,68321.3,67137.2,69740.4,64201.3,0.001,36,max_hold,1.184100000000006,1.109597825000006,0.074502175,0.03419999999999709,0.0,-0.9073000000000029,1.733300000000003
518,BTCUSDT,short,1771808400000,1771894800000,2026-02-23T01:00:00+00:00,2026-02-24T01:00:00+00:00,66672.4,63779.5,67681.2,63779.5,0.001,24,target,2.8928999999999943,2.821151454999994,0.071748545,0.033400000000008735,0.0,-0.033400000000008735,3.2967999999999957
519,BTCUSDT,long,1771984800000,1772114400000,2026-02-25T02:00:00+00:00,2026-02-26T14:00:00+00:00,65893.4,67877.8,64268.2,70637.1,0.001,36,max_hold,1.9844000000000088,1.9108258400000089,0.07357416,0.033,0.0,-1.1729999999999927,4.105600000000006
520,BTCUSDT,short,1772262000000,1772283600000,2026-02-28T07:00:00+00:00,2026-02-28T13:00:00+00:00,63142.2,64599.99999999999,64600.0,58895.1,0.001,6,stop,-1.4578000000000029,-1.5280582100000029,0.07025821,0.031600000000005825,0.0,-2.047800000000003,0.161
521,BTCUSDT,long,1772463600000,1772593200000,2026-03-02T15:00:00+00:00,2026-03-04T03:00:00+00:00,67162.2,68286.0,65064.8,73320.5,0.001,36,max_hold,1.123800000000003,1.0493034900000031,0.07449651,0.03359999999999127,0.0,-1.0821999999999972,2.937800000000003
522,BTCUSDT,short,1774137600000,1774148400000,2026-03-22T00:00:00+00:00,2026-03-22T03:00:00+00:00,68847.0,69505.5,69505.5,67009.4,0.001,3,stop,-0.6585,-0.734593875,0.076093875,0.0345,0.0,-0.7088000000000029,0.658
523,BTCUSDT,short,1774825200000,1774825200000,2026-03-29T23:00:00+00:00,2026-03-29T23:00:00+00:00,65787.2,66161.2,66161.2,64797.5,0.001,0,stop_entry_bar,-0.374,-0.44657162,0.07257162,0.033,0.0,-0.5631999999999971,0.0
524,BTCUSDT,short,1775095200000,1775224800000,2026-04-02T02:00:00+00:00,2026-04-03T14:00:00+00:00,67282.7,66644.6,68701.0,63162.7,0.001,36,max_hold,0.6380999999999912,0.5644399849999913,0.07366001500000002,0.03369999999999709,0.0,-0.11730000000000292,1.6065999999999914
525,BTCUSDT,long,1775430000000,1775559600000,2026-04-05T23:00:00+00:00,2026-04-07T11:00:00+00:00,68347.2,68196.1,67301.9,71346.2,0.001,36,max_hold,-0.15109999999999127,-0.22619881499999128,0.075098815,0.03419999999999709,0.0,-0.3141999999999971,1.985300000000003
526,BTCUSDT,long,1775602800000,1775732400000,2026-04-07T23:00:00+00:00,2026-04-09T11:00:00+00:00,71515.7,71234.7,69526.5,77340.0,0.001,36,max_hold,-0.281,-0.35951272,0.07851272000000001,0.03580000000000291,0.0,-1.087699999999997,1.3428000000000029
527,BTCUSDT,long,1775750400000,1775880000000,2026-04-09T16:00:00+00:00,2026-04-11T04:00:00+00:00,72144.1,72835.1,70908.3,75707.2,0.001,36,max_hold,0.6910000000000001,0.61126144,0.07973856000000001,0.03610000000000582,0.0,-0.762,1.3058999999999943
528,BTCUSDT,short,1775959200000,1776088800000,2026-04-12T02:00:00+00:00,2026-04-13T14:00:00+00:00,71562.9,71623.0,72647.5,68452.4,0.001,36,max_hold,-0.06010000000000582,-0.13885224500000584,0.07875224500000001,0.03580000000000291,0.0,-0.7956000000000059,1.1046999999999971
529,BTCUSDT,long,1776121200000,1776250800000,2026-04-13T23:00:00+00:00,2026-04-15T11:00:00+00:00,74637.3,73825.9,72793.0,80020.6,0.001,36,max_hold,-0.8114000000000088,-0.8930547600000088,0.08165476,0.037300000000002914,0.0,-1.188300000000003,1.371699999999997
530,BTCUSDT,long,1777860000000,1777888800000,2026-05-04T02:00:00+00:00,2026-05-04T10:00:00+00:00,79795.9,78593.9,78593.9,83241.9,0.001,8,stop,-1.202,-1.28911439,0.08711438999999999,0.03989999999999418,0.0,-1.6675999999999913,0.7943000000000029
531,BTCUSDT,long,1778428800000,1778443200000,2026-05-10T16:00:00+00:00,2026-05-10T20:00:00+00:00,81422.2,80842.5,80842.5,82998.1,0.001,4,stop,-0.5796999999999971,-0.6689455849999971,0.08924558500000002,0.04069999999999709,0.0,-1.1970999999999914,0.1656999999999971
