trade_id,symbol,side,entry_ts_utc,exit_ts_utc,entry_price,exit_price,stop_price,target_price,qty,hold_bars,exit_reason,gross_pnl,realized_pnl,fees,slippage_cost,funding,mae,mfe,return_units,entry_bar_exit,ambiguous_intrabar,tag
1,BTCUSDT,long,2020-01-18T00:00:00+00:00,2020-01-19T00:00:00+00:00,8923.2,8569.7,8569.7,9616.8,0.001,1,stop,-0.3535,-0.363121095,0.009621095000000003,0.004470000000001164,0.0,-0.4822900000000009,0.2820999999999986,-0.04069404417697686,False,False,tsm_pressure_zone
2,BTCUSDT,long,2020-01-22T00:00:00+00:00,2020-01-23T00:00:00+00:00,8747.2,8440.1,8440.1,9347.2,0.001,1,stop,-0.3071000000000004,-0.3165530150000004,0.009453015000000002,0.004420000000000073,0.0,-0.42120000000000074,0.07279999999999927,-0.03618906793030917,False,False,tsm_pressure_zone
3,BTCUSDT,long,2020-01-27T00:00:00+00:00,2020-01-28T00:00:00+00:00,8615.6,9341.3,8246.2,9341.3,0.001,1,target,0.7256999999999989,0.7158237049999989,0.009876295,0.004390000000001237,0.0,-0.05060000000000037,0.8204599999999992,0.08308460292956948,False,False,tsm_pressure_zone
4,BTCUSDT,long,2020-02-02T00:00:00+00:00,2020-02-02T00:00:00+00:00,9397.7,9209.5,9209.5,9759.2,0.001,0,stop_entry_bar,-0.18820000000000073,-0.19843396000000074,0.01023396,0.004710000000000946,0.0,-0.2376900000000005,0.09221999999999934,-0.021115162220543403,True,False,tsm_pressure_zone
5,BTCUSDT,long,2020-02-15T00:00:00+00:00,2020-02-15T00:00:00+00:00,10361.5,10100.0,10100.0,10870.5,0.001,0,stop_entry_bar,-0.2615,-0.272753825,0.011253825,0.005229999999999563,0.0,-0.6092000000000007,0.02825,-0.026323777927906192,True,False,tsm_pressure_zone
6,BTCUSDT,long,2020-02-19T00:00:00+00:00,2020-02-19T00:00:00+00:00,10179.7,9460.9,9460.9,11601.1,0.001,0,stop_entry_bar,-0.7188000000000011,-0.7296023300000011,0.010802330000000002,0.005170000000000073,0.0,-0.886630000000001,0.10629999999999927,-0.07167228209082793,True,False,tsm_pressure_zone
7,BTCUSDT,long,2020-02-22T00:00:00+00:00,2020-02-25T00:00:00+00:00,9686.3,9292.1,9292.1,10459.9,0.001,3,stop,-0.39419999999999894,-0.40463811999999894,0.010438120000000002,0.004909999999999855,0.0,-0.4392999999999993,0.3326000000000004,-0.04177427087742471,False,False,tsm_pressure_zone
8,BTCUSDT,short,2020-03-08T00:00:00+00:00,2020-03-08T00:00:00+00:00,8891.1,8281.7,9204.9,8281.7,0.001,0,target_entry_bar,0.6093999999999996,0.5999549599999996,0.009445040000000002,0.004520000000000437,0.0,-0.0066099999999987636,0.8934000000000005,0.06747814781073204,True,False,tsm_pressure_zone
9,BTCUSDT,short,2020-03-13T00:00:00+00:00,2020-04-02T00:00:00+00:00,4759.8,6641.3,8157.1,-2020.3,0.002,20,max_hold,-3.763,-3.77554121,0.01254121,0.0049599999999991266,0.0,-5.0604,2.2759800000000006,-0.3966071274003109,False,False,tsm_pressure_zone
10,BTCUSDT,short,2020-04-06T00:00:00+00:00,2020-04-06T00:00:00+00:00,6765.5,7049.8,7049.8,6207.1,0.001,0,stop_entry_bar,-0.28430000000000016,-0.2918984150000002,0.007598415000000001,0.0033999999999996364,0.0,-0.6045,0.0055,-0.04314513561451484,True,False,tsm_pressure_zone
