month,n_trades,net_pnl
2023-11,5,0.019268044999996126
2023-12,7,0.5081718349999973
2024-01,6,3.153036340000007
2024-02,4,1.1393824999999989
2024-03,4,-3.271467765
2024-04,9,2.5285133699999958
2024-05,5,3.973646319999994
2024-06,6,-0.31694123000000496
2024-07,7,0.5871526799999969
2024-08,8,4.982489229999992
2024-09,7,0.9211972650000124
2024-10,8,-1.5173851850000015
2024-11,5,1.6353498600000003
2024-12,6,4.78935525
2025-01,5,1.8667047700000086
2025-02,5,-2.7200031449999917
2025-03,7,0.3209791650000031
2025-04,6,-1.3162828099999968
2025-05,6,3.428151695000003
2025-06,7,-0.010513850000005376
2025-07,5,1.3214991450000024
2025-08,8,2.5160402099999906
2025-09,5,0.8588671950000063
2025-10,8,11.260796759999995
2025-11,5,6.568994949999993
2025-12,11,-1.47597625000001
2026-01,10,3.5957493849999915
2026-02,3,0.6548828999999972
2026-03,7,1.5150944349999986
2026-04,7,-1.7069054799999963
