month,n_trades,net_pnl
2023-11,4,-1.3981868500000005
2023-12,2,0.8757091499999996
2024-01,3,0.12233320000000063
2024-02,2,0.5296354500000001
2024-03,1,-0.23124729999999927
2024-04,3,3.5092239999999992
2024-05,6,0.025704849999995227
2024-06,4,-0.8068751499999995
2024-07,5,0.9771081499999996
2024-08,6,4.974895750000007
2024-09,5,-0.14918304999999799
2024-10,2,0.8254786999999996
2024-11,2,0.6279196999999999
2024-12,4,-0.2529300000000041
2025-01,5,1.6868614000000015
2025-02,3,-1.6214459500000007
2025-03,4,2.6160316999999997
2025-04,7,-2.0804948999999984
2025-05,3,0.07368374999999638
2025-06,9,-1.1201068500000047
2025-07,2,0.6649766499999992
2025-08,3,2.2249957500000006
2025-09,3,1.7511252500000007
2025-10,4,3.013700349999998
2025-11,2,2.1971496000000013
2025-12,11,-0.2996317499999993
2026-01,11,1.3185830000000025
2026-02,4,0.023712100000000902
2026-03,6,-0.512215300000002
2026-04,5,-0.5602
