month,n_trades,net_pnl
2023-11,13,-1.6044968750000153
2023-12,13,-0.4317698449999983
2024-01,15,3.799539805000004
2024-02,11,8.67432453000001
2024-03,6,-5.875376169999995
2024-04,16,8.420002679999978
2024-05,11,5.979722294999991
2024-06,16,0.34309169999999833
2024-07,16,5.61273211
2024-08,20,19.612388755
2024-09,11,3.7673571350000166
2024-10,10,1.452577035
2024-11,10,7.288041424999986
2024-12,13,3.3086389749999974
2025-01,12,2.964410194999973
2025-02,8,-7.249744254999977
2025-03,13,1.4856459849999974
2025-04,14,-5.61744042499999
2025-05,16,10.547634049999989
2025-06,14,1.6681663449999884
2025-07,8,6.186351860000003
2025-08,18,-2.8568773050000216
2025-09,12,2.4158964050000264
2025-10,14,19.339993274999987
2025-11,9,20.987113949999983
2025-12,26,-12.148846545000001
2026-01,18,7.503285394999969
2026-02,8,3.9758532250000034
2026-03,10,1.3832324300000018
2026-04,13,-2.148822595000011
